,large_low_synch_low_synch_offset,large_low_synch_low_synch_,large_low_synch_low_fast_offset,large_low_synch_low_fast_,large_low_synch_high_synch_offset,large_low_synch_high_synch_,large_low_synch_high_fast_offset,large_low_synch_high_fast_,large_low_fast_low_synch_offset,large_low_fast_low_synch_,large_low_fast_low_fast_offset,large_low_fast_low_fast_,large_low_fast_high_synch_offset,large_low_fast_high_synch_,large_low_fast_high_fast_offset,large_low_fast_high_fast_,large_high_synch_low_synch_offset,large_high_synch_low_synch_,large_high_synch_low_fast_offset,large_high_synch_low_fast_,large_high_synch_high_synch_offset,large_high_synch_high_synch_,large_high_synch_high_fast_offset,large_high_synch_high_fast_,large_high_fast_low_synch_offset,large_high_fast_low_synch_,large_high_fast_low_fast_offset,large_high_fast_low_fast_,large_high_fast_high_synch_offset,large_high_fast_high_synch_,large_high_fast_high_fast_offset,large_high_fast_high_fast_,shape_low_synch_low_synch_offset,shape_low_synch_low_synch_,shape_low_synch_low_fast_offset,shape_low_synch_low_fast_,shape_low_synch_high_synch_offset,shape_low_synch_high_synch_,shape_low_synch_high_fast_offset,shape_low_synch_high_fast_,shape_low_fast_low_synch_offset,shape_low_fast_low_synch_,shape_low_fast_low_fast_offset,shape_low_fast_low_fast_,shape_low_fast_high_synch_offset,shape_low_fast_high_synch_,shape_low_fast_high_fast_offset,shape_low_fast_high_fast_,shape_high_synch_low_synch_offset,shape_high_synch_low_synch_,shape_high_synch_low_fast_offset,shape_high_synch_low_fast_,shape_high_synch_high_synch_offset,shape_high_synch_high_synch_,shape_high_synch_high_fast_offset,shape_high_synch_high_fast_,shape_high_fast_low_synch_offset,shape_high_fast_low_synch_,shape_high_fast_low_fast_offset,shape_high_fast_low_fast_,shape_high_fast_high_synch_offset,shape_high_fast_high_synch_,shape_high_fast_high_fast_offset,shape_high_fast_high_fast_
shape_low_fast_low_synch_,27.9174964680377,24.989712647812667,29.07905731750384,28.394459298623946,34.288472808690855,26.774596447894098,31.411802906918304,25.63044195496381,25.09234956101961,28.971411498750147,18.233109706805543,13.017273150649103,21.11670653738322,21.67073249956207,21.555251306842806,22.03968249193266,14.97887398049576,17.205225654695624,15.254659596783824,16.220239620633457,14.880014666380443,16.96338919055693,12.98490335688778,16.11385765056544,15.023958186050322,15.190853955217014,17.79607436478892,12.49299946134412,14.687183583816303,17.591960833433532,13.323891638206739,14.596094741647361,16.74207106476623,14.907149687039139,12.058327590667172,16.114605307436094,12.00221742055587,19.673179106129822,9.163275704569475,13.16088871615722,13.944463241222739,0.0,,,,,,,,,,,,,,,,,,,,,,
shape_low_fast_low_fast_offset,27.72876644860022,26.374018642078667,24.158616978811036,20.62211648000945,33.576396530785715,27.31136831085295,30.480447583117737,26.606983136258485,20.363512566061047,25.076247874605592,18.23145668598778,11.54562652317812,18.137279057303093,21.346623160056367,15.063046584098647,19.053366525402062,12.302993159651502,13.130402966553518,15.017978693786887,15.04328846194808,13.906707631457282,10.402014101786108,12.93790133238378,14.407106296362157,9.74753435297821,12.92917826082778,16.782594772103543,12.824565404931285,18.243319469265963,12.117751526941355,16.136052042215,12.906254224706782,9.636043928845357,14.58413056264145,8.883947699395351,9.737251093105936,9.879336278092605,17.092765752426843,12.746587683362167,12.293040574163204,12.554461524518942,13.944663773817283,0.0,,,,,,,,,,,,,,,,,,,,,
shape_low_fast_low_fast_,28.054409727350457,24.403443047271814,27.351048369137704,25.34841265865262,31.0893307016691,25.944571094516697,27.201607954070028,27.784094220226002,24.901453548410224,25.990559922861877,15.150160720995077,9.818949886476037,20.498929264148956,21.380946049060213,22.533454439085784,23.618829518171758,15.91506761892646,14.639488961299936,7.502416069505863,10.541624596618911,16.283222714569092,11.818642335537717,15.53282261640599,11.702341956679367,11.434012197699822,13.594239743291098,15.185460886445245,14.143885952775701,17.822556934539676,11.74521006024609,14.158588071293197,13.745646878120812,10.422754844468624,14.224533940973192,8.132692514781635,12.287079515838471,13.194520744645743,13.564910942486861,13.237694465799532,7.905003759982559,13.080707856220775,14.373541517348265,11.271704664665272,0.0,,,,,,,,,,,,,,,,,,,,
shape_low_fast_high_synch_offset,30.517909830977743,29.62867361506148,28.265354730294597,23.92313524842639,35.63587049956199,31.870052623656452,37.7033943805162,27.069736446085702,20.171011675586747,25.32337094121657,21.512415822912608,16.173375102761913,21.08201986055925,21.753294896872806,18.397304627564615,20.197793666859482,18.479031007648715,16.839399856226986,21.156816372822874,17.957793669444968,17.620396214074468,15.388073533104269,16.26609970185047,21.449417706630378,15.597069435908779,18.334829491274327,16.404690577400522,16.650538702248134,20.34511017073146,16.008829236447244,19.33959898518544,15.43457060016187,15.769325953210819,16.492231233998144,15.81987387856666,14.752145909071352,13.453213028161912,16.194904037362182,17.67438699656363,17.62836681992667,20.317085432654594,14.642983021517884,13.269865210125218,18.48464547877743,0.0,,,,,,,,,,,,,,,,,,,
shape_low_fast_high_synch_,28.067843728829473,25.04309415091855,25.745126914980915,22.4217558801084,28.592135268607237,24.617371744948045,27.304085284828652,27.129146620587026,23.70274718160546,26.593475514864643,16.17387394614945,13.373244429005053,19.116279881101,21.078235237157088,22.16266208298265,24.459174522459975,17.634120945082287,15.718918063607532,12.994803609550427,14.863281346967014,17.568368206427316,10.509065382348112,13.187790179872,15.084955061909737,15.165959366347906,16.467331067218893,17.190947767608883,13.502608963282317,17.920298185790045,13.917995118632398,15.56682928405328,13.686382990224777,10.841009662178775,11.043595546310186,11.534569253562339,13.83584484797865,15.98273992281439,19.358922000165265,15.200366686175474,12.793559352183728,12.800234064801522,14.463200249537461,12.245342966310455,10.97031600271388,19.86249783006177,0.0,,,,,,,,,,,,,,,,,,
shape_low_fast_high_fast_offset,26.143177261213175,26.569844908490428,24.50254159732264,19.117953288535745,30.819328682241967,26.534191850065604,30.10337054200274,24.913544272112716,21.492377359220495,26.171157152755185,15.379249287565038,11.479244123067863,16.69653804439745,23.826349100681565,16.52050272359159,17.698395671002356,17.033882344852877,12.166047282510945,15.775944339449584,15.151356291714837,15.244267496406351,10.207374712167912,13.92168110788141,14.57911766785745,14.168191021237899,12.99607675356816,15.805138483274526,15.732342859589,19.569888157475972,14.235584227440942,16.36747080865402,14.818205016482557,10.42548745484855,13.673849100754403,13.481163529864313,10.378435204776453,12.037859604444648,16.312121618447364,16.249360522824798,14.1922250180085,17.32674816275673,15.623047372800539,9.659812209739318,12.818398456376764,14.074051795368874,13.836290686949848,0.0,,,,,,,,,,,,,,,,,
shape_low_fast_high_fast_,34.995656360573186,31.65347709154529,34.839329951651465,27.93135790382967,38.844124876669824,35.678056769394495,38.14461275380702,35.282666754020084,24.796902044174907,31.575700535123,22.374302175174638,15.512788650146323,24.69278006521996,22.782658799411607,22.464784456082494,25.77054796256357,19.724441972997216,16.19624553003478,22.568615107279662,21.82815784560838,18.28279138670583,18.65735037198247,16.2014511700293,21.561398962791856,17.294796008656675,21.504448860681087,20.887361952779813,17.409585877895008,21.28410019804503,15.709609627562354,21.022867745128984,16.350333131805563,17.987022093787004,18.996842642243113,17.396001340840826,19.633381078163893,13.25307822037022,20.059686793564694,21.57037483510325,20.67633167550819,20.638031730006663,18.60825831434113,15.39232630620211,18.01214377360608,13.01561218159339,21.26942457451291,16.70435956025672,0.0,,,,,,,,,,,,,,,,
shape_high_synch_low_synch_offset,31.939382638271503,26.44782608081556,23.48540652342176,25.69741220680754,33.30277941904083,26.807149701281425,31.976253582732383,31.485113914100275,22.659654040609883,20.97718580443336,20.413414578233297,16.842155603452447,18.25061402649139,19.215087044951684,21.04142754509265,20.97377100384465,18.6598438678443,16.29970792872367,16.284121563409585,12.973151332009996,15.646330365362774,14.505790406998234,12.699548560516899,14.383872085522892,15.308587835485358,17.042186596633623,15.198475093920885,15.572018367314694,11.161895666052486,16.994618487950618,17.29791946157167,14.498072716558584,16.976996489061783,14.614831849388617,13.951848401595573,14.959380528482832,13.618372732404453,17.465368985268174,15.970483521856643,12.7730781780506,13.725840690069656,13.883879515690666,16.653843962704755,14.548586500392599,19.26760986377469,12.924731679071995,17.10652152773346,24.053633065475694,0.0,,,,,,,,,,,,,,,
shape_high_synch_low_synch_,33.93283635731352,31.087163025373243,27.089646995053386,26.841134498908723,34.515886127863475,30.675565849733452,37.66506854419137,30.28595863754458,21.64134351559164,23.646174241109172,21.70789257952518,18.239456635490964,18.409515416398506,19.899023901945647,18.874573251443543,21.186406086859805,18.32963265712916,18.369093080139507,21.029456114386043,17.948969105370054,20.220767395628627,16.266163675053456,16.2594740237134,18.070104073942886,17.663910660802635,16.0565557307079,12.542044972675418,15.136807220416651,15.087357027475852,15.866928431803714,17.95865805145929,14.344364352750132,14.638160022804179,16.19794001644589,16.245276215230074,13.176526305669409,15.219830506069274,18.799175527016757,16.27899510051892,16.29113174983683,15.645345877440203,14.515549247902461,16.551940196963177,17.974929835299903,13.128178094269797,16.902647886303733,16.531139832924445,19.58336457380635,14.96844816483025,0.0,,,,,,,,,,,,,,
shape_high_synch_low_fast_offset,29.818864521069834,27.193717663183985,24.030129847504092,24.51671071882192,35.430911971440864,27.679399840118595,32.64168064788483,27.507681577436088,20.476997380554273,23.718396880234835,17.122594156492667,13.409259033862103,18.027380467516558,21.353490447833106,17.101780354990993,18.685771042644177,15.76454829915,12.300539186212665,16.52333265740892,14.051813024348267,12.165840856649263,11.068494720538762,10.65285303756377,12.454856329038192,12.300493414035724,14.273110290812753,15.721613473464437,13.668617986545033,13.85326734429363,14.583431200463385,15.023741316968472,12.386254677796098,13.580560580035728,12.765350674662892,10.872084577763239,10.457917060233283,6.819148658837529,15.937149740684385,11.342322405984635,10.560639799752046,12.114588599599944,11.611213025548594,9.38895066275995,13.030239635914036,13.618279048410617,15.252523829820333,11.386019081335467,16.416871391138045,13.068743079980297,14.822054918381795,0.0,,,,,,,,,,,,,
shape_high_synch_low_fast_,29.22545140580509,25.71148530787753,24.33560641307909,24.212151548337555,30.94927234796703,27.098355105850352,30.54657458672311,30.063028238618173,21.75546308987497,23.95989158878641,18.19265934882209,12.712825811368267,17.37514962462835,19.936564208238696,17.757585719984405,19.546445624619455,15.066707266215342,14.207041203465927,16.705585540458635,14.55043810154801,15.754802360695942,11.77753263932253,11.965614967605974,12.879666099242094,13.645810945563063,14.362205404748307,13.473468836957856,14.371432553747063,15.852908563245432,13.716982049924972,14.015980087673457,14.498831669292809,10.872484283225575,11.885850935157803,13.59327247972648,11.988082124200387,9.630625351759054,15.07529962007352,14.411901680013399,11.510102113130259,12.252086566087815,14.527938109932432,12.029359243203091,13.18419273804626,16.211253116514158,13.717176135061377,11.08785016388314,17.40027740623898,12.376647567839207,13.547533408037035,10.058067194685744,0.0,,,,,,,,,,,,
shape_high_synch_high_synch_offset,25.46861079368253,23.2194802182888,27.679776414503703,23.834051293748814,32.846992963746835,27.590288269229823,28.134135893644835,29.53469808773071,21.92657111053851,24.585648680687157,16.637587034469036,10.789473262790413,18.620347316048893,19.604398320697484,21.01237281845357,20.033461346980857,13.891472915927837,15.993484950342006,10.919509727224607,14.619931580265103,14.290435080806947,12.74997801511076,11.564103838501202,14.932442265940649,11.318012260509587,11.259741803767273,12.768138898492523,12.942815551611755,15.024009971695499,11.982650809837427,12.303843192529785,11.26375110767464,11.554320003844492,11.529944966609643,8.271660393768311,13.876540039843732,11.601825586088463,12.491722963766431,14.202620646327183,9.366531346431934,12.364254938336785,12.679475833756495,10.782352066980092,9.84368243329565,15.9410615378455,12.644758354072323,13.943971004490951,16.705370355352194,13.205707400381044,14.776565113450378,12.245251467787899,9.468004453107506,0.0,,,,,,,,,,,
shape_high_synch_high_synch_,29.21715408637016,25.894945993967838,28.079358519863767,25.14348984845238,35.008627890904336,26.81162586997553,33.10323915818642,29.11206048397015,22.419321219915226,26.598950203260582,19.460959061626234,16.85152229347946,19.994517829170356,19.891568429316877,17.66093706802504,21.48078704905971,16.322648221069237,13.763739501202611,15.737884005810596,13.367788796702493,12.662258079039976,13.159293493846766,14.142016615053382,15.59905696576217,12.129128495467729,16.203998614472766,15.217949262707904,14.5607740503347,13.400182009164201,16.463918769498832,15.889255145068216,11.713664825321452,15.161282817149894,16.178067201791755,9.333196918383802,13.623641097011163,10.93771474459602,15.63389946792598,10.815029264462106,10.042215698023366,10.754347782893497,12.581993441011432,10.23834926546482,13.018654379395162,12.88830910154918,16.31097079607328,14.122066641397218,14.494762423368218,15.649478526136107,14.00866444274036,8.939215342393624,14.421310319461789,11.476065098147892,0.0,,,,,,,,,,
shape_high_synch_high_fast_offset,28.724355947966217,26.642531854054194,28.69242748663923,22.415519665236864,30.678838898756844,29.20570045955033,28.945206428443626,29.005208885313472,26.073391193293773,30.070508908139274,14.700518621817771,8.59244178165965,20.453925915571148,24.270172920855973,20.599175038891225,23.921035635191757,17.866639683856317,15.068002578047796,16.80602309977235,17.63708277966526,17.3510955446229,13.716580655838415,14.029171019369725,15.24532316189958,16.185384687422236,16.879715140761384,17.640821803285377,13.678643554869018,19.25826423909372,14.778857101107235,17.702372458501067,14.118634686775971,10.262733544254818,12.930990728478989,14.064131647841046,15.390109248973634,14.620542919253548,20.266483947396658,17.425235118247453,17.392213429032232,17.492563581548733,15.082860640357932,11.970097879238931,13.36220366953463,18.419372527230443,9.457085800730091,10.770554765904073,15.412163082491688,16.321652784212528,18.404381923134178,15.576141120980239,12.863185050213573,13.083825234676702,18.045720089548492,0.0,,,,,,,,,
shape_high_synch_high_fast_,27.41347392792568,26.041586340297826,28.245994607185303,23.24264645858471,33.82275987972614,27.002442461053157,31.158312075142387,26.380289688520474,22.721055810485602,27.672569357195446,15.954861556193126,10.833826774045463,17.848767335197344,21.322701780824964,18.71326018870436,21.4016721498297,13.130424522001503,13.390358764853804,12.131119060001389,14.673019862793154,13.169007504778454,11.542400220237754,10.373799548099916,11.41837522546329,12.348348834079193,11.980037377467557,13.176709242114374,11.638419161743872,13.093388556352714,12.29793324738305,11.331011906735917,11.804115975637846,11.063702065960326,12.11616491671597,9.705365509709807,11.281520353329379,7.739992227831539,14.431511866862472,10.489335399433624,9.250427727614296,11.335702642255322,10.544729506880198,8.181224678309391,8.98699149853369,15.19707545893956,12.499703162780097,9.732307804448961,14.517831014211454,14.94606765637553,14.646545041578273,7.066553414430188,10.811108455632695,9.326943196091165,8.643637836095984,11.730439726552966,0.0,,,,,,,,
shape_high_fast_low_synch_offset,29.855998498732966,27.866154511648645,27.761531844759872,25.626055536755327,36.65196821417534,30.2064744434266,32.984006824219506,33.21132805531256,23.604148599191408,24.292715701844763,20.55525321296468,13.266281441298208,19.82447454834371,20.86179643695025,19.068789464673948,19.91332896166621,14.49576956448751,19.13019558473946,17.789013274382583,18.435766080407802,15.957724542737115,16.10647383841276,13.463097096206585,17.204206162746406,12.356946556219306,13.704484604605678,13.266022338536825,11.699926607187805,16.68573810365168,14.3250354923946,13.792995536101598,12.944919189680334,15.230262107086995,15.539825185879158,15.478695293345186,14.419611359087368,13.50506403187934,17.16529330398732,16.323415175744927,14.85072839491464,16.966148535336597,13.600817484644779,13.574931710281849,15.551797402889584,15.465038234252528,14.246754146925635,14.585036258757953,16.945265196796647,13.588839445493022,13.738698123475817,14.615725447436995,9.95239609432341,10.578718196571144,16.507049785963055,13.506117487749801,13.689655710923102,0.0,,,,,,,
shape_high_fast_low_synch_,31.643784298726338,29.443295332019886,31.315071236418255,25.694851522819846,32.12490573674697,32.60841194319388,34.85735224453606,31.365729397760447,25.0452025902122,28.492922750793515,20.91379086726878,15.376496019201486,21.65614969344238,22.03220225981332,21.30574223454053,25.19358136595795,17.267526872626863,15.393852715257182,19.206236380117993,17.86021181759579,19.650372381027488,16.96825067731806,14.339894521168382,17.151744824786064,17.951341391297603,16.961800649217302,12.690130608467014,14.297174998807513,14.17684067693735,15.17463101870834,16.046869136708608,15.604633725507318,13.14087132441098,16.121193644371672,16.84876788208177,14.786178285959256,14.532737697450166,18.70858004073356,18.50279817561232,15.56636637307816,15.368030552223193,15.745436084235024,16.62910442422712,16.357210767576873,14.620099885712182,16.492841702585324,15.089545343098584,14.955124232822591,16.610505220525507,10.581111336382104,16.561538539536606,11.679569755420289,11.940197943886199,14.719647048081068,14.431255884700015,13.285733365426406,13.215192040795149,0.0,,,,,,
shape_high_fast_low_fast_offset,27.115763299270625,26.676363489142265,25.40435419335204,26.35602959372835,35.19105030446045,26.78789549808092,33.74887721291164,30.542951818744335,22.719007135367136,24.870211936242626,20.852360020611698,12.789298020499803,18.51982010110971,20.848936288164456,18.447523483496816,18.762447520303823,13.042527771464513,16.662940867237026,15.657391575696305,13.346622369693613,10.344125022145384,15.894129640843186,14.613590582182386,16.911977085664013,8.740921174233533,16.418770026242612,17.274994801778245,13.32350635649193,12.936211804297578,18.23437971647723,17.210828382675597,13.614218706863717,15.784720048218322,17.130539842136894,10.60164150322414,16.514595353971785,12.331590229678431,17.094204366974118,12.029755165143685,13.167123292406824,13.114902783755364,10.960700421816329,13.31703759317327,13.799953313581817,15.465869664912441,16.835349715108652,15.758033467840756,18.838271317302365,11.838375203727818,16.654502519073997,12.12696576703943,13.416745605427826,11.405886124752506,11.684951170246547,16.083119852006604,12.797658465293777,14.015556109671623,16.433872611314897,0.0,,,,,
