,time,Lat_Prim,Long_Prim,DeltaLat_Hiiaka,DeltaLong_Hiiaka,DeltaLat_Hiiaka_err,DeltaLong_Hiiaka_err,DeltaLat_Namaka,DeltaLong_Namaka,DeltaLat_Namaka_err,DeltaLong_Namaka_err
19,2455375.661,27.35023052170529,196.58193883482483,1.0133863490054296,-0.7391677094971676,0.0015342700485100555,0.0013537918062696943,,,,
20,2455375.673,27.350232805043877,196.58197265749607,,,,,0.16930525102196725,-0.08280770244604548,0.0033638467810036925,0.002785969512445434
21,2455375.719,27.350247280947812,196.58209365262417,,,,,0.16576455780494825,-0.08084664635066026,0.007599558331206611,0.0026939327247966407
22,2455375.727,27.35024575133576,196.58211771175564,1.0124565571203448,-0.7361142440159942,0.001610860058318196,0.0011006910662617777,,,,
23,2455375.7369999997,27.350244221744408,196.58214177088306,,,,,0.16106269136315632,-0.07750106747760134,0.0024311499395850314,0.0015268462838537444
24,2455375.786,27.350262510530957,196.58227252962442,,,,,0.1455436393101195,-0.0741082664486898,0.002679219088046378,0.00137960635931348
25,2455375.793,27.350260980898653,196.58229658876644,1.0112890373306982,-0.7327814525139892,0.0018691715624256223,0.001253583290321751,,,,
26,2455375.859,27.35028536589031,196.58247093384034,1.0100920373275812,-0.7302114509828175,0.0017679473648367977,0.0011707976030886883,,,,
27,2455375.9280000003,27.350304408238287,196.58265957459113,1.0090981635059393,-0.7271297883714207,0.001733387553511407,0.0013030847724777397,,,,
28,2455375.9930000002,27.350328793086707,196.58283391984807,1.0090347741993355,-0.7256591033467524,0.0018541592784049002,0.0012280364299625465,,,,
29,2455376.058,27.35034402236907,196.58301279719765,1.007575128444671,-0.7226676724907299,0.0013551193720798822,0.0013833445921057682,,,,
30,2457155.338,27.808725315074277,201.4792586911291,-0.4705659521178518,0.6816880170193053,0.00566558131436577,0.003928389310275015,-0.38120476103102874,0.2685570275520252,0.004271122260018041,0.0027575746746272014
31,2457203.995,27.8188582596343,201.61496745190192,-0.42024916939027435,0.6352354933449803,0.0019948377911854407,0.0017100198139831436,0.5839564235941452,-0.40742510245815255,0.002005340812264523,0.0017159480991328791
