,kboTIME,x,y,z
6379,2454543.3145168275,-6448915424.791527,-1690846201.1839855,3480433568.1196003
6380,2454543.4395202803,-6448882106.569388,-1690564373.5577517,3480438944.0473585
6381,2454543.564523805,-6448847477.272041,-1690280800.6764116,3480443571.2559986
6382,2454543.6895273505,-6448813458.027409,-1689994686.5766704,3480447105.722832
6383,2454543.8145308406,-6448782019.727628,-1689706718.8867936,3480449846.757422
6384,2454543.9395342176,-6448754022.468741,-1689418664.769751,3480452560.7650123
6385,2454544.0645374767,-6448728709.060889,-1689132331.2022066,3480456029.969669
6386,2454544.1895406693,-6448704150.845735,-1688848501.808988,3480460591.822725
6387,2454544.3145438717,-6448678383.310197,-1688566476.2774918,3480465940.3070283
6388,2454544.4395471415,-6448650562.812323,-1688284483.5589738,3480471306.1351376
6389,2454544.5645504817,-6448621463.303724,-1688000725.5511887,3480475909.7352967
6390,2454544.6895538415,-6448593020.563149,-1687714436.7101393,3480479420.2931113
6391,2454544.814557144,-6448567192.3105,-1687426335.6591327,3480482150.5511327
6392,2454544.939560333,-6448544805.401004,-1687138202.873982,3480484872.662298
6393,2454545.0645634043,-6448525068.906995,-1686851833.1162863,3480488363.5283866
6394,2454545.1895664106,-6448506039.799626,-1686567979.4541972,3480492947.342115
6395,2454545.314569428,-6448485767.022899,-1686285910.6636567,3480498304.6981363
6396,2454545.4395725136,-6448463440.294121,-1686003842.6258228,3480503660.67424
6397,2454545.5645756694,-6448439867.181965,-1685719989.700744,3480508241.134817
6398,2454545.689578843,-6448416997.543883,-1685433616.9962888,3480511728.571083
6399,2454545.814581957,-6448396775.348726,-1685145473.9242322,3480514449.065381
6400,2454545.9395849565,-6448379993.966537,-1684857353.7524307,3480517180.2892118
6401,2454546.0645878394,-6448365828.96598,-1684571038.5023065,3480520693.5916376
6402,2454546.189590659,-6448352323.522541,-1684287250.4683738,3480525299.8104253
6403,2454546.314593491,-6448337540.614312,-1684005227.7372408,3480530666.2462664
6404,2454546.4395963917,-6448320703.557147,-1683723173.653562,3480536012.571254
6405,2454546.564599362,-6448302653.297151,-1683439315.5736609,3480540570.314707
6406,2454546.689602348,-6448285353.192678,-1683152949.4803216,3480544035.3670015
6407,2454546.814605274,-6448270732.885295,-1682864855.357574,3480546747.053281
6408,2454546.9396080836,-6448259552.023944,-1682576838.7401712,3480549488.3329535
6409,2454547.0646107774,-6448250952.916238,-1682290668.3874326,3480553024.7736382
6410,2454547.1896134093,-6448242965.519546,-1682007035.6117191,3480557653.76584
6411,2454547.3146160557,-6448233667.417586,-1681725148.0408108,3480563029.4145393
6412,2454547.439618771,-6448222315.752783,-1681443197.0193915,3480568366.216914
6413,2454547.5646215547,-6448209784.59792,-1681159423.4293802,3480572901.594483
6414,2454547.689624353,-6448198050.22924,-1680873154.341492,3480576344.926551
6415,2454547.814627089,-6448189027.38788,-1680585200.08586,3480579048.680331
6416,2454547.9396297084,-6448183441.7746105,-1680297377.9344065,3480581800.8710713
6417,2454548.0646322127,-6448180402.687403,-1680011442.865371,3480585361.058051
6418,2454548.189634656,-6448177927.445932,-1679728055.0086222,3480590013.096245
