,Primary-Centric Time,deltaLat,deltaLon,Lat1,Lat2,Lon1,Lon2,X1,Y1,Z1,X2,Y2,Z2
24,2460186.4471285213,0.4991737730620116,-0.20018091867881374,-11.099107005738848,-11.098968346357442,24.799559196917407,24.7995025312123,85.27349193033706,39.401088833328494,-18.428034079914752,85.27357138215918,39.40102320339616,-18.427806748304132
25,2460196.447141573,-0.39788098476094547,-0.14115765187796447,-11.107149110282656,-11.107259632778423,24.72771001897484,24.727670060030384,85.3184695833534,39.29211454528282,-18.440783551499507,85.31846467588328,39.29204016286375,-18.440964743430328
26,2460206.4471546407,0.0546453566876437,0.38738870433719336,-11.11250475232431,-11.112489573058564,24.644443377083732,24.64455304119086,85.37189674632822,39.166436993314,-18.44912749060272,85.37182622410255,39.16660243313713,-18.449102606568477
27,2460216.4471677244,0.3416795939045869,-0.3889371828784848,-11.114827583100098,-11.114732672101791,24.552310155725692,24.552200052389967,85.43206477743225,39.02787152119304,-18.452498681147198,85.43216757866794,39.027720050351824,-18.45234309429657
28,2460226.4471808244,-0.5014298828569963,0.13772905474826297,-11.113848257865039,-11.11398754394361,24.454171400188823,24.45421038946036,85.4970492455974,38.88069174767414,-18.45045607590068,85.49698195794836,38.88073135989516,-18.450684401734847
29,2460236.4471939392,0.35124500339307474,0.19936805262728147,-11.10939257439961,-11.109295006343112,24.353158378073037,24.353214815666618,85.56474026900166,38.7295719581725,-18.442714453000217,85.56473073069573,38.72966919175137,-18.44255451505886
30,2460246.44720707,0.04112960653017694,-0.41333347679502,-11.101398272825854,-11.101386847935151,24.252545461094815,24.252428456852712,85.63292971736195,38.57939857870119,-18.429171903003695,85.63301185101992,38.579225216277926,-18.429153174744297
31,2460256.447220216,-0.3886827228136269,0.3571780363870848,-11.089931314759182,-11.090039282182186,24.155622940796675,24.15572404488704,85.6993943347205,38.43507983569197,-18.409936498896915,85.69929485817636,38.435216864286105,-18.410113487265704
32,2460266.447233377,0.5001074100249525,-0.07320966703083116,-11.075176823643895,-11.075037904918888,24.065645309286328,24.065624587341826,85.76193127331548,38.30146968290916,-18.385311462468138,85.7619858275673,38.301456843265356,-18.38508373022235
33,2460276.447246553,-0.2750204681845503,-0.26107972210856684,-11.057406697066314,-11.05748309164081,23.98563567223464,23.98556177828632,85.81849300606262,38.18307767399863,-18.35574211818511,85.81851988937804,38.18295704545369,-18.35586735790531
34,2460286.4472597437,-0.11020242325727736,0.42156415148764165,-11.037010556049136,-11.037041167833374,23.91832902136124,23.918448329266322,85.8672068782078,38.083976393269104,-18.321866698805454,85.86711862684386,38.0841512270312,-18.321916885439556
35,2460296.4472729485,0.4403497416241464,-0.3139151765028959,-11.014490131874421,-11.014367812501748,23.86602077191001,23.86593193680927,85.90646664115377,38.00757072984732,-18.284507237806707,85.906561267702,38.00745332828577,-18.28430669011432
36,2460306.4472861676,-0.4711953521187695,0.0024048724691433567,-10.990370873116726,-10.990501760714537,23.83053592553933,23.83053660604037,85.93496722269401,37.95655791291772,-18.24452474844852,85.93492864680464,37.956542094124444,-18.244739356441272
37,2460316.447299401,0.2128293679277249,0.30578954970646466,-10.965270451497766,-10.965211332228897,23.813103278232855,23.813189799421103,85.95175788817609,37.932725068397396,-18.20293162065823,85.95171778985932,37.93286244577779,-18.202834680639846
38,2460326.447312647,0.1980175645599047,-0.4214000204784226,-10.939797421782568,-10.939742416903524,23.81437401190652,23.81425478973638,85.9562517380798,37.93698602454967,-18.160725513486703,85.95634662806812,37.9368142046289,-18.160635314385303
39,2460336.4473259067,-0.4633152523972228,0.26250360606666484,-10.914588428561286,-10.914717127242508,23.83435261361484,23.834426874625205,85.94825673241213,37.96927023962222,-18.11895038727575,85.94817029205113,37.96936519066512,-18.119161445087183
40,2460346.4473391795,0.4441661308192124,0.06268730710145932,-10.890235296549479,-10.890111917068696,23.8724592803671,23.872477012853636,85.92795589986993,38.028624890482476,-18.078576946137606,85.92797972966764,38.028667239327376,-18.07837459969146
41,2460356.4473524657,-0.1254387417873204,-0.3510536882851035,-10.867292777685412,-10.867327621780353,23.92754940129146,23.927450105659595,85.89589654948163,38.113244071056265,-18.040515303061127,85.89595257258594,38.11309076062764,-18.04057245154281
