number,designation, epoch, delta_AU, RA_hours, DEC_deg, dRA, dRA_err, dDEC, dDEC_err
160091,"2000 OL67",2454277.95238,42.56005,23.131761,-4.76014,0.24632,0.01029,0.03665,0.00198
160091,"2000 OL67",2455177.73919,43.18038,23.166831,-4.43692,-0.16337,0.00300,0.03008,0.00300
160091,"2000 OL67",2456147.04213,42.58046,23.503192,-2.15775,-0.05673,0.10000,-0.28707,0.10000
160091,"2000 OL67",2456153.01061,42.52623,23.497486,-2.19239,-0.01064,0.10000,-0.09394,0.10000
160091,"2000 OL67",2456589.83653,42.73190,23.496928,-2.14725,-0.11812,0.00685,0.15022,0.00686
160091,"2000 OL67",2457270.86820,36.80682,22.794508,-10.02303,-0.17106,0.00484,0.09530,0.00556
160091,"2000 OL67",2457990.91534,42.99204,23.873708,0.45144,-0.07114,0.00950,0.19288,0.00460
160256,"2002 PD149",2454242.70308,45.58955,23.713108,-6.80207,0.66008,0.00239,0.36322,0.00107
160256,"2002 PD149",2455177.78840,45.06164,23.749078,-6.71283,1.05979,0.00300,0.05931,0.00623
160256,"2002 PD149",2456164.04821,44.14322,0.059069,-4.88236,-0.19407,0.05000,0.02380,0.05000
160256,"2002 PD149",2456889.02485,44.13578,0.210997,-3.93978,1.03595,0.00182,0.06786,0.00488
160256,"2002 PD149",2457270.92634,43.97926,0.268006,-3.60831,1.17822,0.00500,0.33769,0.00500
174567,"2003 MW12",2454947.91380,47.05469,16.761767,-2.11636,0.12311,0.00334,-0.01033,0.00201
174567,"2003 MW12",2455411.77394,47.21519,16.735164,-1.99692,-0.09206,0.00200,-0.10862,0.00200
174567,"2003 MW12",2455411.84777,47.21619,16.735125,-1.99728,-0.08012,0.00200,-0.11149,0.00200
174567,"2003 MW12",2455439.72274,47.63142,16.729158,-2.16169,-0.13093,0.00097,-0.00172,0.00246
174567,"2003 MW12",2455441.04295,47.65206,16.729306,-2.17072,-0.02228,0.00131,-0.13318,0.00137
174567,"2003 MW12",2455467.09059,48.04750,16.740347,-2.35914,-0.00562,0.00467,0.13799,0.00172
174567,"2003 MW12",2455752.29017,46.79484,16.825217,-1.89475,0.08235,0.00858,-0.11167,0.00413
174567,"2003 MW12",2456020.03911,47.01580,16.993264,-2.23083,-0.11187,0.00300,0.07594,0.00300
174567,"2003 MW12",2456053.96807,46.62621,16.968394,-2.00150,-0.05069,0.00300,0.12971,0.00300
174567,"2003 MW12",2456141.85712,46.93075,16.878472,-1.96019,-0.10084,0.01354,-0.07780,0.00618
174567,"2003 MW12",2456404.98806,46.65088,17.053842,-2.07036,-0.08404,0.00300,0.09796,0.01080
174567,"2003 MW12",2456486.75571,46.56242,16.966169,-1.86689,-0.12196,0.00332,-0.08097,0.00786
182933,"2002 GZ31",2453848.86696,40.64626,15.075892,-16.30849,-0.01919,0.00026,0.06824,0.00063
182933,"2002 GZ31",2454482.81997,41.72362,15.302786,-17.26362,0.07081,0.01208,0.01068,0.01466
