minor planet
and companion	type	semimajor axis (AU)	orbital period (yr)	eccentricity	diameter (km)	rotation period (hours)	semimajor axis (km)	orbital period (days)	diameter (km)	discovery
method	discovery date	announcement date
(66391) Moshup
(85938) 1999 DJ4	NEA APO	1.853	2.523	0.484	0.43	2.514	[0.8?]	0.7388	0.21	LC	21 Feb 2004	23 Apr 2004
(1727) Mette	MCA	1.854	2.525	0.102	10.2	2.981	[21?]	0.875	2.1	LC	17 Jan 2013	5 Feb 2013
(461852) 2006 GY2	NEA APO	1.858	2.532	0.496	0.4	2.27	>0.5	0.488	0.08	R	15 May 2006	2 Jun 2006
(4674) Pauling
S/2004 (4674) 1	MB	1.859	2.534	0.070	4.5	2.521	250?	[130?]	1.4	AOT	4 Mar 2004	5 Mar 2004
(1509) Esclangona
S/2003 (1509) 1	MB	1.866	2.550	0.032	7.8	3.253	140?	[23?]	2.6	AOT	13 Feb 2003	18 Feb 2003
(53432) 1999 UT55	MCA	1.872	2.561	0.116	2.6?	3.330	[4?]	0.5875	0.6	LC	3 Jan 2013	Feb 2013
(2047) Smetana	MB	1.872	2.561	0.003	3.0	2.497	[6?]	0.9346	0.6	LC	31 Oct 2012	Mar 2013
(523775) 2014 YB35	NEA APO	1.875	2.567	0.483	0.3	?	?	?	<0.15	R	20 Mar 2015	Mar 2015
(7958) Leakey	MB	1.877	2.572	0.077	2.8	2.348	[10?]	2.10	0.8	LC	13 Jun 2012	Oct 2012
(2491) Tvashtri	MB HUN	1.878	2.573	0.054	3.2	4.085	[8]	1.113	>0.76	LC	29 Mar 2018	4 May 2018
(2131) Mayall	MB	1.887	2.593	0.111	8.3	2.568	[18?]	0.9783	2.2	LC	30 Nov 2009	31 Dec 2009
(3169) Ostro	MB	1.892	2.602	0.067	3.9	6.509	5.2	0.2712	3.4	LC	5 Nov 2005	20 Dec 2005
(3873) Roddy	MCA	1.892	2.603	0.134	7.2	2.480	[14?]	0.8017	2.0	LC	13 Aug 2012	Jan 2013
(1866) Sisyphus	NEA APO	1.894	2.606	0.538	8.5	2.700	?	?	?	R	Dec 1985	Dec 2007
(52316) Daveslater	MB	1.897	2.612	0.065	3.3?	2.763	[5?]	0.5598	0.5?	LC	17 Dec 2012	Mar 2013
(1453) Fennia	MB	1.897	2.613	0.028	7.0	4.412	[15?]	0.9579	2.0	LC	4 Nov 2007	1 Dec 2007
(2577) Litva
--
S/2012 (2577) 1	MCA	1.904	2.628	0.138	4.0	2.813	[21?]
378	1.495
214	1.4
1.2	LC	28 Feb 2009	11 Mar 2009
(23621) 1996 PA	MCA	1.904	2.628	0.299	2.4?	2.665	[5?]	0.8583	0.65?	LC	16 Jul 2017	4 Oct 2017
(2449) Kenos	MCA	1.909	2.638	0.168	6.2?	3.848	?	?	?	LC	27 Feb 2015	Jun 2015
(5905) Johnson	MB	1.910	2.640	0.072	4.4	3.782	[9?]	0.9077	1.8	LC	1 Apr 2005	13 Apr 2005
(9069) Hovland	MB	1.913	2.646	0.118	3.0	4.218	[8?]	1.264	0.9	LC	Oct 2004	16 Nov 2004
(18890) 2000 EV26	MB	1.917	2.654	0.074	3.9?	3.822	6?	0.5954	1.0?	LC	23 Jul 2014	Dec 2014
(5477) Holmes	MB	1.917	2.655	0.075	3.0	2.994	[7?]	1.018	1.1	LC	2 Nov 2005	15 Nov 2005
(26471) Tracybecker	MCA	1.918	2.656	0.154	5.7	2.687	[18?]	1.637	2.0	LC	13 Jul 2009	20 Jul 2009
(4440) Tchantches	MB	1.921	2.663	0.077	2.0	2.788	[4?]	0.779	0.5	LC	27 Sep 2005	Jul 2013
(250162) 2002 TY57	NEA AMO	1.922	2.664	0.327	0.4?	2.500	0.6?	0.4485	>0.08	LC	10 Nov 2018	18 Dec 2018
(8026) Johnmckay	MB	1.925	2.672	0.075	1.7	372.0	?	?	?	LC	11 Jul 2010	6 Aug 2010
(24465) 2000 SX155	MB	1.925	2.672	0.085	3.1?	2.661	[3.6?]	0.3855	0.68?	LC	12 Oct 2016	Mar 2017
